"","productID","tableName","tableDesc","tableType","tableTMI"
"85","DP1.20015.001","SCGW_30_minute","Specific conductivity in groundwater averaged over 30 minutes","site-date","30"
"86","DP1.20004.001","BP_1min","Barometric Pressure averaged over 1 minute","site-date","1"
"87","DP1.20120.001","inv_pervial","Aquatic macroinvertebrate identified archive data","site-date","0"
"88","DP1.10020.001","bet_BOLDvoucherInfo","Ground beetle sequences DNA barcode - voucher info","site-date","0"
"89","DP1.20004.001","BP_30min","Barometric Pressure averaged over 30 minutes","site-date","30"
"90","DP1.00101.001","dpm_field","Particulate mass field collection summary per site","site-date","0"
"91","DP1.00101.001","dpm_lab","Particulate mass laboratory analysis summary per sample","site-date","0"
"92","DP1.20046.001","RHbuoy_1min","Air Temperature on buoy averaged over 1 minute","site-date","1"
"93","DP1.00095.001","SCO2C_1_minute","Soil CO2 concentration averaged over 1 minute","site-date","1"
"94","DP1.00038.001","wdp_sensor","Wet deposition collector automated sensor data","site-date","0"
"95","DP1.20267.001","gag_fieldData","Field metadata and gauge height per site per date","site-date","0"
"96","DP1.20221.001","zoo_fieldData","Aquatic zooplankton field data","site-date","0"
"97","DP1.00095.001","SCO2C_30_minute","Soil CO2 concentration averaged over 30 minutes","site-date","30"
"98","DP1.20221.001","zoo_dnaExtraction","Ingest of laboratory metadata from DNA extraction for zooplankton analyses","site-date","0"
"99","DP1.20221.001","zoo_pcrAmplification","Ingest of laboratory metadata from PCR amplification of DNA for zooplankton analyses","site-date","0"
"100","DP1.20138.001","amc_fieldCellCounts","Aquatic microbes field data specific to sample for cell counts","site-date","0"
"101","DP1.20221.001","zoo_markerGeneSequencing","Ingest of laboratory metadata for zooplankton marker gene sequencing","site-date","0"
"102","DP1.10066.001","mpr_perpitprofile","Data collected per megapit profile","site-date","0"
"103","DP1.20126.001","inv_dnaExtraction","Ingest of laboratory metadata from DNA extraction for macroinvertebrate analyses","site-date","0"
"104","DP1.20126.001","inv_pcrAmplification","Ingest of laboratory metadata from PCR amplification of DNA for macroinvertebrate analyses","site-date","0"
"105","DP1.20046.001","RHbuoy_30min","Air Temperature on buoy averaged over 30 minutes","site-date","30"
"106","DP1.20280.001","amb_fieldParent","Aquatic benthic microbes field data","site-date","0"
"107","DP1.20280.001","mmg_benthicMarkerGeneSequencing_ITS","Laboratory metadata for microbial ITS marker gene sequencing from aquatic benthic samples","site-date","0"
"108","DP1.20282.001","amc_fieldSuperParent","Field data for the parent sample of surface water microbes","site-date","0"
"109","DP1.20048.001","gag_fieldData","Field metadata and gauge height per site per date","site-date","0"
"110","DP1.20282.001","mmg_swDnaExtraction","Laboratory metadata from DNA extraction of surface water samples for microbial analyses","site-date","0"
"111","DP1.20264.001","TSD_30_min","Temperature at specific depths of surface water averaged over 30 minutes","site-date","30"
"112","DP1.20282.001","mmg_swPcrAmplification_ITS","Laboratory metadata from ITS PCR amplification of DNA from surface water samples for microbial analyses","site-date","0"
"113","DP1.20280.001","mmg_benthicMarkerGeneSequencing_16S","Laboratory metadata for microbial 16S marker gene sequencing from aquatic benthic samples","site-date","0"
"114","DP1.00014.001","SRDDP_30min","Shortwave radiation (direct and diffuse pyranometer) averaged over 30 minutes","site-date","30"
"115","DP1.00022.001","SRPP_1min","Shortwave radiation (primary pyranometer) averaged over 1 minute","site-date","1"
"116","DP1.20166.001","alg_taxonomyRaw","Periphyton, seston, and phytoplankton identifications by expert taxonomists - raw","site-date","0"
"117","DP1.00005.001","IRBT_1_minute","IR Biological Temperature averaged over 1 minute","site-date","1"
"118","DP1.00002.001","SAAT_1min","Single aspirated air temperature averaged over 1 minute","site-date","1"
"119","DP1.20042.001","PARWS_1min","Photosynthetically Active Radiation at Water Surface averaged over 1 minute","site-date","1"
"120","DP1.00014.001","SRDDP_1min","Shortwave radiation (direct and diffuse pyranometer) averaged over 1 minute","site-date","1"
"121","DP1.00005.001","IRBT_30_minute","IR Biological Temperature averaged over 30 minute","site-date","30"
"122","DP1.00002.001","SAAT_30min","Single aspirated air temperature averaged over 30 minutes","site-date","30"
"123","DP1.20261.001","uPAR_1min","Photosynthetically Active Radiation below water surface averaged over 1 minute","site-date","1"
"124","DP1.20042.001","PARWS_5min","Photosynthetically Active Radiation at Water Surface averaged over 5 minutes","site-date","5"
"125","DP1.00001.001","2DWSD_2min","2D wind speed and direction averaged over 2 minutes","site-date","2"
"126","DP1.10017.001","dhp_perplot","Digital hemispherical photo sampling information per plot per bout","site-date","0"
"127","DP1.20042.001","PARWS_30min","Photosynthetically Active Radiation at Water Surface averaged over 30 minutes","site-date","30"
"128","DP4.00131.001","geo_mappedPointErrors","Data associated with mapped points that have errors","site-date","0"
"129","DP4.00131.001","geo_pebbleCount","Data associated with pebble count surveys","site-date","0"
"130","DP4.00131.001","geo_featureInfo","Data associated with mapped features","site-date","0"
"131","DP4.00131.001","geo_totalStation","Data associated with mapped total station locations","site-date","0"
"132","DP1.00003.001","TAAT_1min","Triple aspirated air temperature averaged over 1 minute","site-date","1"
"133","DP1.20261.001","uPAR_30min","Photosynthetically Active Radiation below water surface averaged over 30 minutes","site-date","30"
"134","DP4.00131.001","geo_resultsFile","Morphology file of results","site-date","0"
"135","DP1.10022.001","bet_fielddata","Ground beetle metadata on field collection","site-date","0"
"136","DP1.10022.001","bet_sorting","Sorting of field-collected pitfall samples by NEON parataxonomists","site-date","0"
"137","DP1.10066.001","mpr_perdepthincrement","Data collected per depth increment","site-date","0"
"138","DP1.10066.001","mpr_perrootsample","Data collected per root sample","site-date","0"
"139","DP1.20282.001","amc_fieldGenetic","Field data for the genetic sample of surface water microbes","site-date","0"
"140","DP1.10017.001","dhp_perimagefile","Digital hemispherical photo sampling information per image file within a plot","site-date","0"
"141","DP1.20016.001","EOS_30_min","Elevation of surface water averaged over 30 minutes","site-date","30"
"142","DP1.10053.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"143","DP1.20016.001","EOS_5_min","Elevation of surface water averaged over 5 minutes","site-date","5"
"144","DP1.00003.001","TAAT_30min","Triple aspirated air temperature averaged over 30 minutes","site-date","30"
"145","DP1.00006.001","SECPRE_1min","Secondary Precipitation pooled over 1 minute","site-date","1"
"146","DP1.00006.001","SECPRE_30min","Secondary Precipitation pooled over 30 minutes","site-date","30"
"147","DP1.20048.001","dsc_fieldDataADCP","Discharge ADCP survey data per site per bout","site-date","0"
"148","DP1.00006.001","PRIPRE_5min","Primary Precipitation pooled over 5 minutes","site-date","5"
"149","DP4.00001.001","wss_daily_wind","Daily weather summary statistics","site-date","24"
"150","DP4.00001.001","wss_daily_temp","Daily weather summary statistics","site-date","24"
"151","DP4.00001.001","wss_daily_humid","Daily weather summary statistics","site-date","24"
"152","DP1.20193.001","sbd_fieldData","Field data per site per date for salt-based discharge","site-date","0"
"153","DP1.20276.001","gsi_wellStabilization","Field data for recording stabilization of ground water well before sampling","site-date","0"
"154","DP4.00001.001","wss_monthly_temp","Monthly weather summary statistics","site-date","12"
"155","DP4.00001.001","wss_monthly_pres","Monthly weather summary statistics","site-date","12"
"156","DP4.00001.001","wss_monthly_shortRad","Monthly weather summary statistics","site-date","12"
"157","DP4.00001.001","wss_monthly_humid","Monthly weather summary statistics","site-date","12"
"158","DP1.00006.001","THRPRE_30min","Throughfall pooled over 30 minutes","site-date","30"
"159","DP1.00022.001","SRPP_30min","Shortwave radiation (primary pyranometer) averaged over 30 minutes","site-date","1"
"160","DP1.00001.001","2DWSD_30min","2D wind speed and direction averaged over 30 minutes","site-date","30"
"161","DP4.00001.001","wss_yearly_wind","Yearly weather summary statistics","site-date","365"
"162","DP4.00001.001","wss_yearly_temp","Yearly weather summary statistics","site-date","365"
"163","DP4.00001.001","wss_yearly_humid","Yearly weather summary statistics","site-date","365"
"164","DP4.00131.001","geo_missingLine","Data associated with missing line workflow","site-date","0"
"165","DP1.20279.001","amb_fieldParent","Aquatic benthic microbes field data","site-date","0"
"166","DP1.20190.001","sdg_externalLabSummaryData","Dissolved gas, gas tracer, and salt tracer external lab summary data","lab-current","0"
"167","DP1.20063.001","apl_clipHarvest","Aquatic plant bryophyte lichen macroalgae clip harvest data","site-date","0"
"168","DP1.20097.001","sdg_fieldSuperParent","Field data for the parent sample of water chemistry, dissolved gas, stable isotopes and surface water microbes for dissolved gas publication","site-date","0"
"169","DP1.10043.001","mos_expertTaxonomistIDRaw","Mosquito identifications by expert taxonomists - raw","site-date","0"
"170","DP1.10043.001","mos_archivepooling","Mosquito archival information from external labs","site-date","0"
"171","DP1.10098.001","vst_apparentindividual","Biomass and productivity measurements of woody individuals","site-date","0"
"172","DP1.10043.001","mos_expertTaxonomistIDProcessed","Mosquito identifications by expert taxonomists - desynonomized","site-date","0"
"173","DP1.10098.001","vst_shrubgroup","Biomass and productivity measurements of groups of shrubs","site-date","0"
"174","DP1.10043.001","mos_barcoding","Mosquito barcoding sample data from external labs","site-date","0"
"175","DP4.00130.001","csd_continuousDischarge","Continuous discharge data calculated from in situ pressure and stage-discharge rating curve","site-date","1"
"176","DP1.10104.001","sme_microbialBiomass","Laboratory results of microbial biomass data","site-date","0"
"177","DP1.10072.001","mam_voucher","Voucher specimens","site-all","0"
"178","DP4.00133.001","sdrc_gaugePressureRelationship","Information relating staff gauge readings to pressure measurements","site-date","0"
"179","DP1.10020.001","bet_BOLDspecimenDetails","Ground beetle sequences DNA barcode - specimen details","site-date","0"
"180","DP1.10020.001","bet_BOLDcollectionData","Ground beetle sequences DNA barcode - collection data","site-date","0"
"181","DP1.10038.001","mos_BOLDtaxonomy","Mosquito sequences DNA barcode - taxonomy","site-date","0"
"182","DP1.10038.001","mos_BOLDspecimenDetails","Mosquito sequences DNA barcode - specimen details","site-date","0"
"183","DP1.10038.001","mos_BOLDcollectionData","Mosquito sequences DNA barcode - collection data","site-date","0"
"184","DP1.20276.001","gsi_externalLabH2OIsotopes","Groundwater H2O stable isotopes external lab data","site-date","0"
"185","DP1.10022.001","bet_parataxonomistID","Ground beetle pinning/pointing and identifications by NEON parataxonomists","site-date","0"
"186","DP1.10003.001","brd_personnel","Personnel conducting breeding landbird point count data and quiz scores","lab-all","0"
"187","DP1.20271.001","RHbuoy_1min","Relative Humidity on buoy averaged over 1 minute","site-date","1"
"188","DP1.20271.001","RHbuoy_30min","Relative Humidity on buoy averaged over 30 minutes","site-date","30"
"189","DP1.20048.001","dsc_fieldData","Discharge manual wading survey data per site per bout","site-date","0"
"190","DP1.10041.001","mos_pathogenresults","Mosquito pathogen testing results from external labs","site-date","0"
"191","DP1.00013.001","wdp_chemLab","Wet deposition chemistry per sample","site-date","0"
"192","DP1.10003.001","brd_references","Identification references used to identify birds, by site and year","site-all","0"
"193","DP1.20048.001","dsc_individualFieldData","Discharge manual wading survey data per point per transect","site-date","0"
"194","DP1.20279.001","mms_benthicMetagenomeDnaExtraction","Laboratory metadata from benthic DNA extraction for metagenomics sequencing","site-date","0"
"195","DP1.10022.001","bet_expertTaxonomistIDRaw","Ground beetle identifications by expert taxonomists - raw","site-date","0"
"196","DP1.10003.001","brd_countdata","Point count data for breeding landbirds","site-date","0"
"197","DP1.10076.001","mam_BOLDtaxonomy","Small mammal sequences DNA barcode - taxonomy","site-date","0"
"198","DP1.20279.001","mms_benthicMetagenomeSequencing","Benthic metagenomics sequencing metadata","site-date","0"
"199","DP1.20193.001","sbd_backgroundFieldSaltData","Background salt per station per date for salt-based discharge","site-date","0"
"200","DP1.20166.001","alg_fieldData","Periphyton, seston, and phytoplankton field collection data from streams, lakes, and non-wadeable streams","site-date","0"
"201","DP1.10076.001","mam_BOLDspecimenDetails","Small mammal sequences DNA barcode - specimen details","site-date","0"
"202","DP1.10076.001","mam_BOLDcollectionData","Small mammal sequences DNA barcode - collection data","site-date","0"
"203","DP1.20193.001","sbd_backgroundFieldCondData","Background conductivity logger per station per date for salt-based discharge","site-date","0"
"204","DP1.20279.001","mms_benthicRawDataFiles","Benthic metagenomics raw sequence data","site-date","0"
"205","DP1.10067.001","bbc_rootChemistry","External lab analysis of carbon and nitrogen concentrations in roots","site-date","0"
"206","DP1.10067.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"207","DP1.20190.001","rea_plateauMeasurementFieldData","Field data collected at plateau per station per date","site-date","0"
"208","DP1.20193.001","sdg_externalLabSummaryData","Dissolved gas, gas tracer, and salt tracer external lab summary data","lab-current","0"
"209","DP1.20281.001","mms_swMetagenomeDnaExtraction","Laboratory metadata from surface water DNA extraction for metagenomics sequencing","site-date","0"
"210","DP1.20275.001","rip_assessment","Riparian Assessment at Aquatic Sites per transect","site-date","0"
"211","DP1.20063.001","apl_plantExternalLabDataPerSample","Plant external lab chemistry data","site-date","0"
"212","DP1.20063.001","asi_externalLabPOMSummaryData","Plant, algae and POM chemistry external lab summary data","lab-all","0"
"213","DP1.10093.001","tck_fielddata","Tick field collection data","site-date","0"
"214","DP1.10072.001","mam_pertrapnight","Small mammal trapping data per trap per night","site-date","0"
"215","DP1.10081.001","mcc_soilTaxonTableMetadata_16S","Taxonomic table metadata for soil microbes from 16S marker gene sequencing analysis","site-date","0"
"216","DP1.10081.001","mcc_soilTaxonTableMetadata_ITS","Taxonomic table metadata for soil microbes from ITS marker gene sequencing analysis","site-date","0"
"217","DP1.20191.001","rip_percentComposition","Assessment of riparian vegetation percent cover in wadeable streams","site-date","0"
"218","DP1.20126.001","inv_dnaExtractionStandard","Ingest of laboratory metadata from DNA extraction for macroinvertebrate standard samples","lab-all","0"
"219","DP1.20166.001","alg_taxonomyProcessed","Periphyton, seston, and phytoplankton identifications by expert taxonomists - desynonimized","site-date","0"
"220","DP1.20281.001","mms_swMetagenomeSequencing","Surface water metagenomics sequencing metadata","site-date","0"
"221","DP1.10093.001","tck_taxonomyProcessed","Tick identifications by expert taxonomists - desynonimized","site-date","0"
"222","DP1.20072.001","apc_pointTransect","Stream aquatic plant bryophyte lichen macroalgae point transect field data","site-date","0"
"223","DP1.20281.001","amc_fieldSuperParent","Field data for the parent sample of surface water microbes","site-date","0"
"224","DP1.20166.001","alg_biovolumes","Biovolumes for algal taxonomy","lab-all","0"
"225","DP1.10092.001","tck_pathogen","Tick pathogen testing data","site-date","0"
"226","DP1.20190.001","rea_backgroundFieldSaltData","Background salt per station per date","site-date","0"
"227","DP1.20190.001","rea_fieldData","Field data per site per date","site-date","0"
"228","DP1.20281.001","amc_fieldGenetic","Field data for the genetic sample of surface water microbes","site-date","0"
"229","DP1.20163.001","alg_fieldData","Periphyton, seston, and phytoplankton field collection data from streams, lakes, and non-wadeable streams","site-date","0"
"230","DP1.10092.001","tck_pathogenqa","Tick pathogen testing quality assurance data from external labs","lab-all","0"
"231","DP1.20190.001","rea_widthFieldData","Wetted width per site per date","site-date","0"
"232","DP1.20190.001","rea_externalLabDataGas","Reaeration external lab gas data","site-date","0"
"233","DP1.20190.001","rea_conductivityFieldData","Reaeration logger field data","site-date","0"
"234","DP1.20163.001","alg_algaeExternalLabDataPerSample","Algae external lab chemistry data","site-date","0"
"235","DP1.10043.001","mos_trapping","Mosquito trapping data from field operations","site-date","0"
"236","DP1.20097.001","sdg_externalLabSummaryData","Dissolved gas external lab summary data","lab-current","0"
"237","DP1.10026.001","cfc_lignin","External lab analysis of lignin concentrations in foliage","site-date","0"
"238","DP1.00094.001","SWS_1_minute","Soil water content and water salinity averaged over 1 minute","site-date","1"
"239","DP1.00094.001","SWS_30_minute","Soil water content and water salinity averaged over 30 minutes","site-date","30"
"240","DP1.10014.001","cdw_densitylog","Tree level data for coarse downed wood disk collection","site-date","0"
"241","DP1.10014.001","cdw_densitydisk","Disk and sample level data for coarse downed wood disk collection","site-date","0"
"242","DP1.10026.001","cfc_chlorophyll","External lab analysis of foliar chlorophyll concentrations","site-date","0"
"243","DP1.10109.001","mga_soilGroupAbundances","Laboratory results of gene copy number data in soil samples","site-date","0"
"244","DP1.20059.001","WSDBuoy_2min","Windspeed and direction above water on-buoy 2 minute mean","site-date","2"
"245","DP1.20059.001","WSDBuoy_30min","Windspeed and direction above water on-buoy averaged over 30 minutes","site-date","30"
"246","DP1.20032.001","SLRNRB_1min","Shortwave and Longwave Radiation on buoy averaged over 1 minute","site-date","1"
"247","DP1.10026.001","cfc_elements","External lab analysis of major, minor, and trace element concentrations in foliage","site-date","0"
"248","DP1.10026.001","cfc_chlorophyllParameters","External lab parameters used in foliar chlorophyll measurements","lab-current","0"
"249","DP1.10099.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"250","DP1.20032.001","SLRNRB_30min","Shortwave and Longwave Radiation on buoy averaged over 30 minutess","site-date","30"
"251","DP1.20219.001","zoo_fieldData","Aquatic zooplankton field data","site-date","0"
"252","DP1.20219.001","zoo_taxonomyRaw","Aquatic zooplankton identifications by expert taxonomists - raw","site-date","0"
"253","DP1.20193.001","sbd_externalLabDataSalt","Reaeration external lab salt data for salt-based discharge","site-date","0"
"254","DP1.20219.001","zoo_taxonomyProcessed","Aquatic zooplankton identifications by expert taxonomists - desynonimized","site-date","0"
"255","DP1.20033.001","NSW_15_minute","Nitrate in surface water summarized over 2 minutes from burst measurements taken every 15 minutes","site-date","15"
"256","DP1.10047.001","spc_perplot","Soil initial characterization field data collected per plot","site-date","0"
"257","DP1.20219.001","zoo_perVial","Aquatic zooplankton identified archive data","site-date","0"
"258","DP1.10047.001","spc_perhorizon","Soil initial characterization field data collected per horizon","site-date","0"
"259","DP1.10047.001","spc_bulkdensity","Soil initial characterization bulk density measurements","site-date","0"
"260","DP1.10047.001","spc_particlesize","Soil initial characterization particle size measurements","site-date","0"
"261","DP1.10026.001","cfc_fieldData","Field collection of foliar samples","site-date","0"
"262","DP1.10010.001","cdw_fieldtally","Tally and raw measurement of coarse downed wood >= 2 cm diameter","site-date","0"
"263","DP1.10026.001","cfc_carbonNitrogen","External lab analysis of carbon and nitrogen concentrations and stable isotopes in foliage","site-date","0"
"264","DP1.20141.001","mcc_swTaxonTableMetadata_16S","Taxonomic table metadata for surface water microbes from 16S marker gene sequencing analysis","site-date","0"
"265","DP1.20086.001","mcc_benthicSeqVariantMetadata_16S","Taxon table metadata for benthic microbes from sequence variant data analysis of the 16S marker gene","site-date","0"
"266","DP1.20190.001","rea_backgroundFieldCondData","Background conductivity logger per station per date","site-date","0"
"267","DP1.10026.001","lig_externalSummary","Long-term uncertainty values for lignin analysis in plant tissue","lab-current","0"
"268","DP1.10035.001","bry_productivity","Field collection and dry mass of bryophyte sample per clip per bout","site-date","0"
"269","DP1.10109.001","mga_soilBatchResults","Batch-level results of analysis of gene copy number in soil samples","lab-all","0"
"270","DP1.10109.001","mga_soilLabSummary","Summary data on laboratory methods for qPCR results in soil samples","lab-all","0"
"271","DP1.20206.001","asi_POMExternalLabDataPerSample","POM stable isotopes external lab data","site-date","0"
"272","DP1.20193.001","sbd_plateauMeasurementFieldData","Field data collected at plateau per station per date for salt-based discharge","site-date","0"
"273","DP1.20072.001","apc_morphospecies","Plant morphospecies resolution data","site-all","0"
"274","DP1.20072.001","apc_voucherTaxonomyRaw","Identifications by expert taxonomists for voucher specimens, raw","site-date","0"
"275","DP1.20072.001","apc_voucherTaxonomyProcessed","Identifications by expert taxonomists for voucher specimens, desynonimized","site-date","0"
